filename,zipf,ct0,l1base,mem,write_gb,write_speed_MBps,read_gb,read_speed_MBps,duration_sec
RocksDB_10B_val128_zipf1.2_mem8MB_CT016_level1base300_targetbase64.log,1.2,16,300,8MB,131.87,49.85,125.11,47.29,6075.9
RocksDB_10B_val128_zipf1.2_mem32MB_CT032_level1base300_targetbase64.log,1.2,32,300,32MB,101.09,36.8,94.46,34.39,4083.2
RocksDB_10B_val128_zipf1.2_mem32MB_CT016_level1base300_targetbase64.log,1.2,16,300,32MB,112.93,41.65,106.24,39.18,4472.3
RocksDB_10B_val128_zipf1.1_mem32MB_CT064_level1base100_targetbase64.log,1.1,64,100,32MB,230.61,64.04,201.94,56.08,12291.3
RocksDB_10B_val128_zipf1.1_mem32MB_CT016_level1base512_targetbase64.log,1.1,16,512,32MB,219.06,62.42,190.71,54.34,11942.9
RocksDB_10B_val128_zipf1.1_mem32MB_CT08_level1base512_targetbase64.log,1.1,8,512,32MB,234.29,66.9,206.57,58.99,12508.3
RocksDB_10B_val128_zipf1.1_mem8MB_CT016_level1base300_targetbase64.log,1.1,16,300,8MB,315.19,66.98,288.62,61.33,20133.7
RocksDB_10B_val128_zipf1.1_mem2MB_CT064_level1base100_targetbase64.log,1.1,64,100,2MB,496.1,69.75,468.94,65.94,24833.2
RocksDB_10B_val128_zipf1.1_mem2MB_CT08_level1base100_targetbase64.log,1.1,8,100,2MB,437.44,73.54,409.71,68.88,27199.0
RocksDB_10B_val128_zipf1.1_mem32MB_CT032_level1base512_targetbase64.log,1.1,32,512,32MB,226.17,61.02,198.14,53.46,12155.4
RocksDB_10B_val128_zipf1.1_mem2MB_CT016_level1base512_targetbase64.log,1.1,16,512,2MB,402.34,63.84,375.7,59.61,21801.8
RocksDB_10B_val128_zipf1.2_mem8MB_CT064_level1base100_targetbase64.log,1.2,64,100,8MB,144.16,40.2,138.06,38.5,5422.1
RocksDB_10B_val128_zipf1.2_mem8MB_CT032_level1base300_targetbase64.log,1.2,32,300,8MB,122.26,45.15,115.62,42.69,5486.1
RocksDB_10B_val128_zipf1.2_mem2MB_CT064_level1base300_targetbase64.log,1.2,64,300,2MB,231.77,36.8,225.78,35.85,7055.6
RocksDB_10B_val128_zipf1.2_mem32MB_CT016_level1base512_targetbase64.log,1.2,16,512,32MB,116.66,41.41,110.46,39.21,4473.7
RocksDB_10B_val128_zipf1.1_mem8MB_CT064_level1base100_targetbase64.log,1.1,64,100,8MB,334.87,69.89,306.9,64.05,20006.1
RocksDB_10B_val128_zipf1.2_mem2MB_CT08_level1base512_targetbase64.log,1.2,8,512,2MB,208.14,51.8,201.85,50.23,8775.4
RocksDB_10B_val128_zipf1.2_mem2MB_CT016_level1base300_targetbase64.log,1.2,16,300,2MB,177.2,52.42,170.49,50.43,8202.1
RocksDB_10B_val128_zipf1.2_mem32MB_CT032_level1base100_targetbase64.log,1.2,32,100,32MB,118.57,43.47,112.43,41.22,4495.1
RocksDB_10B_val128_zipf1.5_mem2MB_CT064_level1base512_targetbase64.log,1.5,64,512,2MB,39.86,14.37,39.67,14.3,1230.1
RocksDB_10B_val128_zipf1.2_mem8MB_CT064_level1base512_targetbase64.log,1.2,64,512,8MB,99.72,28.86,96.27,27.86,3127.4
RocksDB_10B_val128_zipf1.1_mem8MB_CT032_level1base100_targetbase64.log,1.1,32,100,8MB,333.12,70.97,305.17,65.02,21362.5
RocksDB_10B_val128_zipf1.2_mem2MB_CT064_level1base512_targetbase64.log,1.2,64,512,2MB,299.51,36.16,293.39,35.42,8497.7
RocksDB_10B_val128_zipf1.2_mem2MB_CT08_level1base100_targetbase64.log,1.2,8,100,2MB,168.24,52.94,161.94,50.96,8786.5
RocksDB_10B_val128_zipf1.1_mem2MB_CT016_level1base300_targetbase64.log,1.1,16,300,2MB,427.67,69.72,401.45,65.45,24379.9
RocksDB_10B_val128_zipf1.2_mem32MB_CT064_level1base512_targetbase64.log,1.2,64,512,32MB,13.13,17.51,11.39,15.2,474.1
RocksDB_10B_val128_zipf1.1_mem8MB_CT016_level1base100_targetbase64.log,1.1,16,100,8MB,325.76,72.65,298.03,66.47,20615.9
RocksDB_10B_val128_zipf1.1_mem8MB_CT064_level1base512_targetbase64.log,1.1,64,512,8MB,404.35,51.76,377.89,48.38,17297.5
RocksDB_10B_val128_zipf1.2_mem2MB_CT032_level1base100_targetbase64.log,1.2,32,100,2MB,159.08,51.26,152.91,49.28,7301.5
RocksDB_10B_val128_zipf1.2_mem8MB_CT08_level1base100_targetbase64.log,1.2,8,100,8MB,147.23,55.82,140.95,53.44,7553.7
RocksDB_10B_val128_zipf1.1_mem8MB_CT08_level1base100_targetbase64.log,1.1,8,100,8MB,324.26,76.68,296.24,70.06,19013.1
RocksDB_10B_val128_zipf1.2_mem2MB_CT016_level1base100_targetbase64.log,1.2,16,100,2MB,161.58,57.45,155.39,55.25,8238.1
RocksDB_10B_val128_zipf1.1_mem32MB_CT064_level1base300_targetbase64.log,1.1,64,300,32MB,239.25,63.01,211.25,55.63,13643.1
